School ID, School Name, Network, Governance, School Type, Community Area, Total, White, African American, Native American or Alaskan, Hispanic, Multi-Racial, Asian, Hawaiian or Pacific Islander
610304, PHOENIX MILITARY HS, ISP, District, Traditional, NEAR WEST SIDE, 462, 12, 60, 0, 380, 3, 5, 1
610106, PICCOLO, Network 5, District, Traditional, HUMBOLDT PARK, 568, 4, 221, 1, 341, 1, 0, 0
610129, PICKARD, Network 7, District, Traditional, LOWER WEST SIDE, 288, 9, 12, 0, 267, 0, 0, 0
610013, PILSEN, Network 7, District, Traditional, LOWER WEST SIDE, 216, 2, 23, 1, 189, 1, 0, 0
610130, PIRIE, Network 12, District, Traditional, CHATHAM, 202, 1, 196, 0, 2, 3, 0, 0
610131, PLAMONDON, ISP, District, Traditional, NORTH LAWNDALE, 103, 4, 24, 1, 74, 0, 0, 0
610132, POE, Network 13, District, Traditional, PULLMAN, 228, 8, 192, 0, 17, 10, 0, 1
610135, PORTAGE PARK, Network 1, District, Traditional, PORTAGE PARK, 823, 229, 26, 10, 514, 23, 15, 5
610281, POWELL, Network 12, District, Traditional, SOUTH SHORE, 534, 2, 514, 0, 13, 5, 0, 0
610136, PRESCOTT, Network 4, District, Traditional, LINCOLN PARK, 396, 171, 45, 2, 119, 21, 38, 0
610533, PRIETO, Network 3, District, Traditional, BELMONT CRAGIN, 739, 4, 25, 3, 703, 2, 2, 0
610229, PRITZKER, Network 6, District, Traditional, WEST TOWN, 647, 228, 140, 5, 174, 49, 49, 2
609679, PROSSER HS, Network 15, District, Traditional, BELMONT CRAGIN, 1166, 20, 284, 4, 852, 2, 2, 2
610137, PRUSSING, Network 1, District, Traditional, PORTAGE PARK, 614, 269, 9, 3, 282, 13, 34, 3
610138, PULASKI, Network 6, District, Traditional, LOGAN SQUARE, 817, 278, 13, 3, 446, 48, 29, 0
610139, PULLMAN, Network 13, District, Traditional, PULLMAN, 301, 2, 237, 0, 60, 2, 0, 0
610334, RABY HS, Network 15, District, Traditional, EAST GARFIELD PARK, 176, 1, 158, 1, 16, 0, 0, 0
609941, RANDOLPH, Network 11, District, Traditional, WEST ENGLEWOOD, 339, 1, 287, 0, 51, 0, 0, 0
610141, RAVENSWOOD, Network 2, District, Traditional, LAKE VIEW, 532, 249, 43, 0, 155, 57, 28, 0
610142, RAY, Network 9, District, Traditional, HYDE PARK, 496, 76, 318, 3, 42, 16, 33, 3
610143, REAVIS, Network 9, District, Traditional, KENWOOD, 291, 0, 285, 0, 4, 1, 1, 0
610144, REILLY, Network 4, District, Traditional, AVONDALE, 559, 13, 12, 0, 524, 2, 7, 0
610145, REINBERG, Network 1, District, Traditional, PORTAGE PARK, 718, 106, 29, 5, 544, 8, 23, 1
610146, REVERE, Network 12, District, Traditional, GREATER GRAND CROSSING, 214, 0, 210, 0, 4, 0, 0, 0
609682, RICHARDS HS, Network 16, District, Traditional, NEW CITY, 279, 1, 116, 3, 146, 0, 0, 0
610588, RICHARDSON, Network 10, District, Traditional, WEST LAWN, 924, 4, 11, 0, 906, 1, 1, 0
610390, RICKOVER MILITARY HS, ISP, District, Traditional, PORTAGE PARK, 459, 64, 20, 0, 357, 7, 11, 0
610256, ROBINSON, Network 9, District, Traditional, OAKLAND, 112, 1, 107, 0, 3, 0, 0, 0
610147, ROGERS, ISP, District, Traditional, WEST RIDGE, 690, 123, 137, 0, 240, 25, 164, 1
609728, ROOSEVELT HS, Network 14, District, Traditional, ALBANY PARK, 1068, 55, 99, 5, 804, 7, 89, 4
610308, RUDOLPH, Network 6, District, Specialty, NEAR WEST SIDE, 101, 4, 50, 0, 43, 1, 3, 0
610152, RUGGLES, Network 12, District, Traditional, GREATER GRAND CROSSING, 319, 0, 309, 0, 8, 1, 1, 0
610125, RUIZ, Network 7, District, Traditional, LOWER WEST SIDE, 434, 7, 10, 0, 413, 1, 1, 2
610153, RYDER, Network 11, District, Traditional, AUBURN GRESHAM, 350, 1, 337, 1, 7, 0, 0, 0
610342, SABIN, Network 6, District, Traditional, WEST TOWN, 320, 10, 66, 0, 241, 3, 0, 0
610586, SADLOWSKI, Network 13, District, Traditional, EAST SIDE, 622, 17, 27, 1, 575, 2, 0, 0
610250, SALAZAR, ISP, District, Traditional, NEAR NORTH SIDE, 272, 3, 92, 1, 169, 2, 4, 0
610226, SANDOVAL, ISP, District, Traditional, GAGE PARK, 744, 8, 12, 6, 717, 1, 0, 0
610017, SAUCEDO, Network 7, District, Traditional, SOUTH LAWNDALE, 874, 3, 41, 2, 827, 1, 0, 0
610155, SAUGANASH, Network 1, District, Traditional, FOREST GLEN, 601, 295, 8, 0, 125, 36, 134, 1
610157, SAWYER, Network 8, District, Traditional, GAGE PARK, 1016, 18, 1, 6, 985, 4, 2, 0
610158, SAYRE, Network 3, District, Traditional, AUSTIN, 430, 32, 161, 0, 221, 14, 1, 1
610159, SCAMMON, Network 1, District, Traditional, IRVING PARK, 637, 39, 19, 1, 564, 5, 9, 0
610178, SCHMID, Network 12, District, Traditional, PULLMAN, 172, 1, 164, 0, 7, 0, 0, 0
